Date,Open,High,Low,Close
2016-01-27,9781.419922,9880.820313,9728.639648,9880.820313
2016-01-28,9826.280273,9905.080078,9594.799805,9639.589844
2016-01-29,9772.580078,9798.379883,9656.360352,9798.110352
2016-02-01,9823.730469,9827.099609,9638.580078,9757.879883
2016-02-02,9721.179688,9729.230469,9536.969727,9581.040039
2016-02-03,9541.530273,9577.200195,9350.980469,9434.820313
2016-02-04,9522.669922,9539.919922,9270.089844,9393.360352
2016-02-05,9375.290039,9469.709961,9250.839844,9286.230469
2016-02-08,9329.870117,9337.519531,8937.980469,8979.360352
2016-02-09,8980.709961,9041.900391,8772.879883,8879.400391
2016-02-10,8937.980469,9128.540039,8875.450195,9017.290039
2016-02-11,8887.889648,8899.570313,8699.290039,8752.870117
2016-02-12,8854.400391,8967.509766,8815.769531,8967.509766
2016-02-15,9163.540039,9249.459961,9134.759766,9206.839844
2016-02-16,9242.75,9269.05957,9079.19043,9135.110352
2016-02-17,9174.280273,9394.620117,9156.139648,9377.209961
2016-02-18,9428.009766,9551.870117,9349.950195,9463.639648
2016-02-19,9420.509766,9474.019531,9319.099609,9388.049805
2016-02-22,9481.370117,9581.450195,9477.69043,9573.589844
2016-02-23,9503.120117,9535.120117,9405.219727,9416.769531
2016-02-24,9396.480469,9415.330078,9125.19043,9167.799805
2016-02-25,9277.019531,9391.30957,9199.089844,9331.480469
2016-02-26,9454.519531,9576.879883,9436.330078,9513.299805
2016-02-29,9424.929688,9498.570313,9332.419922,9495.400391
2016-03-01,9482.660156,9719.019531,9471.089844,9717.160156
2016-03-02,9780.839844,9837.110352,9695.980469,9776.620117
2016-03-03,9807.05957,9808.519531,9709.679688,9751.919922
2016-03-04,9800.860352,9899.110352,9742.759766,9824.169922
2016-03-07,9764.080078,9803.730469,9690.0,9778.929688
2016-03-08,9688.469727,9785.049805,9617.69043,9692.820313
2016-03-09,9700.160156,9838.950195,9679.19043,9723.089844
2016-03-10,9697.639648,9995.839844,9498.150391,9498.150391
2016-03-11,9672.049805,9833.900391,9642.790039,9831.129883
2016-03-14,9948.209961,10039.610352,9936.05957,9990.259766
2016-03-15,9941.459961,9973.580078,9890.120117,9933.849609
2016-03-16,9971.040039,10021.700195,9917.919922,9983.410156
2016-03-17,10051.69043,10055.290039,9753.040039,9892.200195
2016-03-18,9905.669922,9961.480469,9822.519531,9950.799805
2016-03-21,9893.259766,10095.459961,9863.830078,9948.639648
2016-03-22,9836.280273,9990.0,9762.570313,9990.0
2016-03-23,10046.94043,10112.169922,9964.629883,10022.929688
2016-03-24,9974.599609,9977.990234,9845.370117,9851.349609
2016-03-29,9900.879883,9947.030273,9808.480469,9887.94043
2016-03-30,9951.679688,10097.700195,9947.259766,10046.610352
2016-03-31,9997.44043,10021.339844,9947.019531,9965.509766
2016-04-01,9833.259766,9851.30957,9675.5,9794.639648
2016-04-04,9789.769531,9907.049805,9732.820313,9822.080078
2016-04-05,9647.80957,9661.299805,9553.169922,9563.360352
2016-04-06,9582.459961,9635.910156,9505.900391,9624.509766
2016-04-07,9648.549805,9702.179688,9484.75,9530.620117
2016-04-08,9576.400391,9675.030273,9572.570313,9622.259766
2016-04-11,9595.55957,9751.929688,9524.660156,9682.990234
2016-04-12,9716.75,9770.469727,9617.830078,9761.469727
2016-04-13,9901.129883,10026.099609,9893.419922,10026.099609
2016-04-14,10042.280273,10098.44043,10016.169922,10093.650391
2016-04-15,10063.889648,10070.040039,10020.339844,10051.570313
2016-04-18,9933.700195,10147.849609,9920.900391,10120.30957
2016-04-19,10170.179688,10370.799805,10150.669922,10349.589844
2016-04-20,10312.639648,10440.129883,10304.139648,10421.290039
2016-04-21,10456.990234,10474.379883,10341.969727,10435.730469
